text,source,language,sentiment_label,sentiment_score
"Shubhankar Mishra WhatsApp से जुड़कर हमारी ताक़त बनिए ।
https://www.whatsapp.com/channel/0029VaRVu9ICxoB1dyrmQB41",youtube,hi,POSITIVE,0.40966081619262695
इस टाइम हम सबको भारत के जवानों का हौसला बढ़ाना चाहिए। जय हिंद,youtube,hi,POSITIVE,0.3594706058502197
"Mere 20 saal ka bhai Indian army mein hai. 
Bina soye desh ki sewa kar raha hai.
Proud of him.  Jai Hind .
Please pray for all soldiers be safe and be alert 💓",youtube,en,POSITIVE,0.4454966187477112
"ऑपरेशन सिंदूर नाम ही सुनकर ही सुकून आ रहा है 
गर्व है भारत की सभ्यता पर",youtube,hi,POSITIVE,0.3069109618663788
"In my family 2 brother is in army n 1brother is in that area today, im praying for all of our armys and citizens of that area🙏",youtube,en,POSITIVE,0.5824279189109802
झुकेगा नहीं झुका देगा मिटा देगा अब। जय हिंद 🇮🇳,youtube,hi,NEGATIVE,0.7271416187286377
"""ऑपरेशन सिंदूर"" भारतीय नारी के सम्मान को समर्पित!! Jai Hind Jai Bharat 🇮🇳",youtube,hi,POSITIVE,0.6383447051048279
"कृष्ण की पुकार है, ये भागवत का सार है
कि युद्ध ही तो वीर का प्रमाण है

Jai Hind...!! ❤️🫶🏻💯",youtube,hi,NEUTRAL,0.25939273834228516
"Being a nepali my love and support is with indian ✊🏻 proud to be a neighborhood proud having a brotherhood ✊🏻
Such a proud moment for us the mission 'operation sindoor' wow such a great remarkable mission 🤜🏻🤛🏻 salute 🫡 to indian head of government and indian army's my brother❤❤❤",youtube,en,POSITIVE,0.8571608662605286
सुबह सुबह शुभ समाचार सुनकर मन प्रसन्न हुआ जय हिंद जय भारत जय जवान 💪🏻🇮🇳🪖,youtube,hi,POSITIVE,0.4880557060241699
अब यह सुनकर दिल में सुकूनभरी आनंद आ रही है जय भारत माता 🇮🇳 ये जवान जय मेरे देश के वीर जवान जिन्दाबाद भारत के भविष्य,youtube,hi,POSITIVE,0.5720176100730896
"Bhai रात में लाइब्रेरी में पढ़ रहा था  तब ये news सुनी और इसे सुनकर में 2 घंटा ज्यादा पढ़ा 🇮🇳
#Operation sindoor ✅",youtube,hi,NEGATIVE,0.3419896960258484
News is very very right aapka news bahut acha hai pura bharat aap ko salute karta hai,youtube,en,POSITIVE,0.2589038908481598
"ये द्वंद कहां तक पाला जाए,
ये युद्ध कहां तक टाला जाए।
तू राणा का वंशज है,
फेंक जहां तक भाला जाए।।
Jai Hind ❤
LoVe you Indian army",youtube,hi,POSITIVE,0.6834902167320251
"I impressed about title ""operation Sindoor""
best of Luck India
Best wishes from Nepal",youtube,en,POSITIVE,0.3702932298183441
ॐ कृष्णाय वासुदेवाय हरये परमात्मने ।प्रणतः क्लेशनाशाय गोविंदाय नमो नमः ॥,youtube,hi,POSITIVE,0.6359503865242004
"जब देश की बात आती है तो हम दुश्मनों को बता देता है कि भारत अपने नागरिकों और देश की रक्षा के लिए किसी भी आतंक से लड़ सकता है।। हमें अपने तीनों सैनिकों पर गर्व है।।
🙏🙏🔥🔥💪💪🇮🇳🪖🪖
जय हिंद,, जय भारत,, जय हिंद के जवान।।",youtube,hi,POSITIVE,0.27624306082725525
"ऑपरेशन का नाम ही इतना जबरदस्त हैं, मुझे गर्व हैं भारतीय आर्मी , भारत पर
जय हिंद❤",youtube,hi,NEGATIVE,0.44228848814964294
"ऑपरेशन सिंदूर नाम ही सुनकर ही सुकून आ रहा है गर्व है भारत की सभ्यता पर
ऑपरेशन का नाम ही इतना जबरदस्त हैं, मुझे गर्व हैं भारतीय आर्मी , भारत पर
जय हिंद❤",youtube,hi,NEGATIVE,0.4846716523170471
Morning every hindus brothers🌞♥️🇮🇳 love from Nepal 🇳🇵🕉️,youtube,en,POSITIVE,0.7126214504241943
Operation sindur 👍🏻 पाकिस्तान सुहागरात 😂✅,youtube,hi,POSITIVE,0.26173973083496094
Bhai 5 jet Ap k Jo gira deya vo kon batyae ga,youtube,id,NEUTRAL,0.2445831447839737
Ap ka garoor rafeel Jo tabha keya vo kon batae ga,youtube,id,NEGATIVE,0.25532159209251404
Rooh afza zindabad 😂😂😂😂😂mishra aj kal bjp se ticket lene k chakker me h,youtube,sk,NEGATIVE,0.6073317527770996
Bhai mera naam galib hussain from assam mera namaaz me smile nikalta tha 7 se lekar 18 saal tak aur 18 saal ko mera bemaar hogaya tha tab se ab mera namaaz me smile band hogaya Allah ki kassam,youtube,id,NEGATIVE,0.36105215549468994
Hadees me he ( Ali raziallahu anhu ) Allah ka wali he aur assam ki musalman ko Ali kehti ho aaplog to i am from assam,youtube,et,NEGATIVE,0.3403370976448059
Bhai mera naam galib hussain,youtube,id,NEGATIVE,0.2798202335834503
Galib agaya he jeise quraan me kehdiyagaya alif laam meem ehle rum maglub hogaye najdik ke mulk me aur wo maglub hone ke baad ankarib galib ajayenge chand hi saal me pehle bhi aur baad me bhi Allah hi ka hukm he (surah rum),youtube,so,NEGATIVE,0.3496129810810089
ya bi to btaoo jahaz kidar gira hn apky,youtube,so,NEGATIVE,0.2881530225276947
6😂 fiter jeet 🤣🤣 Rafael  khatam Pakistan  Bangladesh  Zindabad,youtube,id,NEGATIVE,0.2760143578052521
"🇮🇳 Pakistan ARY News Check 

       Bharat Army Zindabad  🇮🇳",youtube,en,NEGATIVE,0.37643277645111084
"🇮🇳 Pakistan ARY News Check 

       Bharat Army Zindabad  🇮🇳",youtube,en,NEGATIVE,0.37643277645111084
"🇮🇳 Pakistan ARY News Check 

       Bharat Army Zindabad  🇮🇳",youtube,en,NEGATIVE,0.37643277645111084
"🇮🇳 Pakistan ARY News Check 

       Bharat Army Zindabad  🇮🇳",youtube,en,NEGATIVE,0.37643277645111084
"🇮🇳 Pakistan ARY News Check 

       Bharat Army Zindabad  🇮🇳",youtube,en,NEGATIVE,0.37643277645111084
Chus mat 😊,youtube,id,POSITIVE,0.32015275955200195
JAY hind 🇮🇳❤,youtube,en,POSITIVE,0.2556404769420624
Ap k fighter jet gir gay hyn batao,youtube,no,NEUTRAL,0.26337218284606934
your 5 fighter plane down,youtube,en,NEGATIVE,0.41547733545303345
Zara check to kro Kitnai rafail kam hogai 😂,youtube,sw,NEGATIVE,0.3911172151565552
"Pakistan zindabad 
Zindabad",youtube,id,NEGATIVE,0.3659664988517761
 @shubhankarmishraofficial  oh yaad aaya ek drone bhi to mar griya hai,youtube,so,NEGATIVE,0.5054334998130798
Bharat Mata ki Jai,youtube,id,NEUTRAL,0.24178199470043182
Hindustan jindabad ❤❤❤❤,youtube,et,NEUTRAL,0.23685100674629211
 @shubhankarmishraofficial   very bad u should have refund policy from France,youtube,en,NEGATIVE,0.8093059062957764
"3 Rafale, 1 Mig-29 and 1 SU-30 Fighter jets are shot down😂😂😂",youtube,en,NEGATIVE,0.3838498890399933
joker,youtube,fi,POSITIVE,0.2917533218860626
Five cup tea ready this time more waiting💦🇮🇳,youtube,en,POSITIVE,0.9890878200531006
जय हिन्द सर 🙏🇮🇳💓😊,youtube,hi,POSITIVE,0.4849555492401123
Jai hind 🇮🇳🇮🇳🇮🇳,youtube,sw,NEUTRAL,0.24159999191761017
Usme live dikh rha hai kisi ko kuch nhi huva khali jgh attack kiya gya hai bus,youtube,sw,NEGATIVE,0.5999168753623962
Ab Pakistani army Ki JAAN Chahiye SARKAR SE Nivedan Hai Jai Sri Ram Jai Hind ❤🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🕉️🙏,youtube,id,NEGATIVE,0.35494494438171387
Operation sindhur ❤❤❤❤🇮🇳🇮🇳🇮🇳🇮🇳 Support for Bharat Sarkar Jai Sri Ram Jai Bharat 🇮🇳🕉️,youtube,id,POSITIVE,0.3836080729961395
Ch,youtube,vi,POSITIVE,0.2855224609375
​ @SalmanKhokhar-q5t abhi to picture baki hai be,youtube,en,NEGATIVE,0.25819334387779236
is baar 5 chup tea 🍵   penay kay liay teyar ho jaio 😂😂😂.... Abay sirf aik ticket kay liay mudi kay kitna talvay chato gay😅,youtube,tl,NEGATIVE,0.35359296202659607
KAPIL SHRMA SHOW SE BI ZAYDA TUM FUNNY HO 😂😂😂,youtube,de,NEGATIVE,0.3274763226509094
@shubhankarmishraofficial bkl puri Sachi bta 😂 ka india Ka lory Kesy lgy hua ab😂,youtube,sw,NEGATIVE,0.31104612350463867
​ @naveedmemon438 6 RAFIL TAYRE INDIA KE TABHA ABII PARTY SHOW NI KI PAKISTAN NE 😂😂,youtube,en,NEGATIVE,0.49082911014556885
Boht gi ala comedy. More then kapil sharma😂,youtube,en,NEGATIVE,0.4919588565826416
5 aircraft down by Pakistan phle ghaz urana to seekh lo,youtube,en,NEGATIVE,0.7029569745063782
Operation sindoor Lul ho gya😂😂,youtube,en,POSITIVE,0.23556369543075562
​ @viral_video555  phle tumlog confirm krlo kitne the koi 6 koi 5 koi 4 kya dimag hil gaya hai kya🤣🤣,youtube,fi,NEGATIVE,0.5513545274734497
Molana talib rehmani to Bangal ke he,youtube,tl,NEGATIVE,0.3424417972564697
@JishanKhan-m2o  Ho to tum bhi bharat k mrne to tumhe bhi h,youtube,en,NEGATIVE,0.4340241551399231
Hindustan zindabad,youtube,id,NEGATIVE,0.37228307127952576
Itna bara jhuoot asa Kuch b nai ha,youtube,id,NEGATIVE,0.2541879415512085
O Bharat walo jesa Tum log soch rhy ho asa Kuch b nai hua 😂😂,youtube,sk,NEGATIVE,0.301291823387146
Happy Learn,youtube,en,POSITIVE,0.5444183945655823
"بھارت نے سفید جھنڈا لہرا کر اپنی شکست تسلیم کرلی ہے-

Pakistan ZinDabad🤍 We'll Win🌸",youtube,ur,NEGATIVE,0.3169376850128174
@majidnawaz7948  happy दिवाली,youtube,pl,POSITIVE,0.5475832223892212
White flag raise kardia operation langoor🤣,youtube,en,POSITIVE,0.5379403233528137
Sir Aap Ke Bigg Fan ❤,youtube,id,POSITIVE,0.3796921372413635
"Sir they were not only Hindu,  24 were Hindu 1 was Christian and 1 was Muslim , please stop dividing Hindu and Muslim,  they were 15 Indian and 1 was from Nepal ( who were like our God according to Indian culture 🇮🇳🇮🇳🇮🇳🇮🇳",youtube,en,NEGATIVE,0.5690856575965881
Operation gao mooter 😂😂😂😂😂😂😂,youtube,en,POSITIVE,0.33024975657463074
Pagal,youtube,tl,POSITIVE,0.308709979057312
Ha ha rafeell ka bhi batao g daant khatty kr diye tum logon k hamesha ki tarah ha ha,youtube,so,NEGATIVE,0.48794862627983093
"7:41 Wrong picture used, maulana abutalib rahmani is an Indian Muslim scholar. Not expected from you.",youtube,en,NEGATIVE,0.6071393489837646
Pakistan zindabad ❤,youtube,id,NEGATIVE,0.34820184111595154
Shame for shubhankar Mishra just fooling his nation.... Now you and your Modi are just making their fame... Shame shame on you both,youtube,en,NEGATIVE,0.7252417802810669
Pakistan Zindabad 🇵🇰Pakistan Zindabad 🇵🇰PakistanPakistan Zindabad 🇵🇰Pakistan Zindabad 🇵🇰Pakistan Zindabad 🇵🇰Pakistan Zindabad 🇵🇰PakistanPakistan Zindabad 🇵🇰 Zindabad 🇵🇰Pakistan Zindabad 🇵🇰Pakistan Zindabad 🇵🇰Pakistan,youtube,id,NEGATIVE,0.458098441362381
Pakistan Zindabad 🇵🇰Pakistan Zindabad 🇵🇰PakistanPakistan Zindabad 🇵🇰Pakistan Zindabad 🇵🇰Pakistan Zindabad 🇵🇰Pakistan Zindabad 🇵🇰PakistanPakistan Zindabad 🇵🇰 Zindabad 🇵🇰Pakistan Zindabad 🇵🇰Pakistan Zindabad 🇵🇰Pakistan,youtube,id,NEGATIVE,0.458098441362381
Jio modi ji 🎉🎉🎉🎉🎉🎉,youtube,sw,POSITIVE,0.3035221993923187
Say whatever comes to your mouth 😂😂,youtube,en,POSITIVE,0.36604610085487366
Ruko Jara sabar karo 😂,youtube,so,NEUTRAL,0.33778250217437744
Dear India say ap Pakistan aajao or Sirf Mera muqabla krlo I'm only 17 years old agr dum hai to aajao..!!,youtube,id,NEGATIVE,0.570268988609314
@AhmadAli-c9y   photo bhajio Jahan apki armi NY white flag Laga dia hey,youtube,en,NEGATIVE,0.3580494821071625
6 rafeel bhi btao😂,youtube,so,NEGATIVE,0.3718530237674713
6 rafeel tabah 😂😂😂😂😂,youtube,so,NEGATIVE,0.3900188207626343
Samye aayega,youtube,so,NEUTRAL,0.2821230888366699
Sir 2 month main ek bar pok main attack hona chahiyee,youtube,en,NEGATIVE,0.42882040143013
Jhoot bolo bar bar bolo APNI Hindustani awam ko gumrah kro 😅,youtube,id,NEGATIVE,0.4399036467075348
@shubhankarmishraofficial   Sb to thik h but jo Bharat k andr hi ghuss kr baithe h unhe pnah de rhe h unhe kb nasth kiya jyga kyunki vo Bharat k andar marte h 😊,youtube,en,NEGATIVE,0.43112194538116455
"Mishra g India k rafail urh gauy awaam ko such btaao jhoot q bhol rhe 
Iska saboot international market me rafail k share Zameen boos ho ga. 
Such karwaa hai .


thook dia Mishra tume

Tume shram aani chahye masoom logoo ko nishana bne ..",youtube,so,NEGATIVE,0.6364973783493042
Kuch nhi tum sub baki huwi hoo,youtube,sw,NEGATIVE,0.32436954975128174
"Jay hind jay bharat,,,,apki batao se ek nai energy milti h ,,,,6.0 strick",youtube,id,NEGATIVE,0.25714612007141113
Jai Shree Ram,youtube,en,NEUTRAL,0.23060476779937744
You r good 👍 plz countinue,youtube,en,POSITIVE,0.3386960029602051
Ram Ram,youtube,id,NEUTRAL,0.23223836719989777
O Hindu bhagirath,youtube,id,NEGATIVE,0.35232242941856384
" @shubhankarmishraofficial  

sindoor lagate hi bharat widwah hogaea",youtube,en,NEGATIVE,0.37448057532310486
Now what we people are suffering from poonch who the hell are here for our people we people die we people face this circumstances and u r making video,youtube,en,POSITIVE,0.36848539113998413
"مکار دشمن نے ہمیشہ کی طرح رات کے اندھیرے میں پاکستان 🇵🇰پر حملہ کر دیا ہے لہذا یہ وقت متحد ہونے اور پاک🇵🇰 فوج کے حوصلے بڑھانے کا وقت ہے، ہر طرح کی سیاست کو پسِ پشت ڈال کر پاکستان 🇵🇰کے محافظوں کے ساتھ کھڑا ہونے کا وقت ہے
نعرہ تکبیر ، اللہ اکبر",youtube,ur,POSITIVE,0.38452666997909546
Jai Hindi 💪,youtube,id,NEUTRAL,0.2584119141101837
Indian media never disappointed their people😅😅,youtube,en,POSITIVE,0.47413522005081177
अभी कुछ दिन पहले तो मोदी जी से सवाल पूछ रहे थे जिसका कोई मतलब नहीं बनता अब views लेने के लिए अब वीडियो बना रहे हो gajap है यार तुमको views के लिए कुछ भी,youtube,hi,NEGATIVE,0.40554991364479065
😂well said​ @VivekSingh-qr6me ,youtube,en,POSITIVE,0.3375725746154785
"Ro mat SUBHANKAR...
Tu apna AMAN KI AASHA ka KABOOTAR 🐦‍⬛  udaa jaakar.",youtube,so,NEGATIVE,0.44952520728111267
"Gaanu h tu or Teri indian armyyy
White flag dikhaa kr jaan churvai h tumhri Indian army ny😂😂😂",youtube,id,NEGATIVE,0.5228981971740723
Please wait for operation mangalsooter 🇵🇰🇵🇰🇵🇰🇵🇰,youtube,en,NEGATIVE,0.37181249260902405
Pakistan zindabad,youtube,id,NEGATIVE,0.3425213098526001
Main is area sa hoon whan per Kuch nhi hoya ek masij  wo bhi puri khli thi.jhota log kush ho rha hain Jase Kuch kar liya ho,youtube,sw,NEGATIVE,0.3337395489215851
Pakistan 6  india 0😂😂😂😂😂😂😂,youtube,id,NEGATIVE,0.35660508275032043
Pakistan 6 india 0 😂😂😂😂😂😂😂😂😂😂😂😂😂,youtube,id,NEGATIVE,0.6155295372009277
@Subhankarmishraofficial You have no limits of stupidity,youtube,en,POSITIVE,0.29351866245269775
Oo Bhai juth to Zara dangh s bolo 😂😂😂,youtube,id,NEGATIVE,0.39796778559684753
 @VivekSingh-qr6me 😂😂,youtube,sq,POSITIVE,0.39441367983818054
❤,youtube,unknown,POSITIVE,0.3085777759552002
Uqat ma a jaho 😂😂😂😂,youtube,so,NEGATIVE,0.2506895065307617
9:54 10:00 😮 10:03 😅 10: 10:14 10:17 13 10:23,youtube,unknown,NEGATIVE,0.37197962403297424
Operation Sindhur😂 Pakistan abbu🎉🎉🎉,youtube,id,POSITIVE,0.3331982493400574
Jhuta ansan,youtube,tl,POSITIVE,0.28020888566970825
हिंदुस्तान जिंदाबाद जिंदाबाद जिंदाबाद जिंदाबाद,youtube,hi,NEGATIVE,0.33378538489341736
White flag 😂raise q kardia India 😂walo 😂 Fighter jutt gira diye wo bhi btaao buzdilo 😂tumhari Army k Jawan 😅 arrested Hain wo btaoo 😅,youtube,en,NEGATIVE,0.744782567024231
https://youtube.com/shorts/sin5sTCaYF8?si=OZWnwa9u-jwzRwN7,youtube,unknown,NEGATIVE,0.25951075553894043
"For the skeptics:

 Indian newspaper The Hindu (not exactly known for ISPR loyalty) confirmed three aircraft shot down over Akhnoor, Ramban, and Pampore – complete with images of wreckage that even Photoshop couldn’t deny. Ouch.

Operation Suhag Raat zindabad 😊😂😂😂",youtube,en,NEGATIVE,0.5474038124084473
"2019 Rafale hota toh....
2025 F35 hota toh 😊😂😂",youtube,en,NEGATIVE,0.32934993505477905
"In response to India’s theatrically named ""Operation Sindoor"", Pakistan unleashed Operation Suhag Raat – a short but intensely educational experience for the Indian Armed Forces. The kind that leaves long-term trauma and short-term memory loss😊😊😊😊😂😂😂😂😂",youtube,en,POSITIVE,0.397821307182312
😂😂,youtube,unknown,POSITIVE,0.3085777759552002
